[0520/152926.712:ERROR:simple_version_upgrade.cc(152)] Failed to write a new fake index.
[0520/152926.810:ERROR:cache_util_win.cc(20)] Unable to move the cache: Access is denied. (0x5)
[0520/152926.811:ERROR:disk_cache.cc(205)] Unable to create cache
[0520/152926.811:ERROR:gpu_disk_cache.cc(673)] Gpu Cache Creation failed: -2
[0520/152926.923:ERROR:cache_util_win.cc(20)] Unable to move the cache: Access is denied. (0x5)
[0520/152926.924:ERROR:disk_cache.cc(205)] Unable to create cache
[0520/152926.924:ERROR:gpu_disk_cache.cc(673)] Gpu Cache Creation failed: -2
[0520/153015.955:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.029:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.035:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.105:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.111:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.184:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.189:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.264:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.269:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.343:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.348:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.429:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.436:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.506:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.511:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.586:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.592:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.665:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.670:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.743:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.748:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.821:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.826:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.900:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.905:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.977:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153016.984:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.055:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.060:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.137:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.143:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.216:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.221:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.294:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.302:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.379:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.384:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.457:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153017.464:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
